ManufacturerName,ModelNumber,Description,PowerRatingContinuous,NominalVoltage,WeightedEfficiency,UL1741SupplementACertification,FirmwareVersionTested,BuiltInMeter,Microinverter,Notes,NightTareLoss,PowerRatingContinuous40degC,NightTareLoss40degC,VoltageMinimum,VoltageNominal,VoltageMaximum,PowerLevel10,PowerLevel20,PowerLevel30,PowerLevel50,PowerLevel75,PowerLevel100,EfficiencyVmin10,EfficiencyVmin20,EfficiencyVmin30,EfficiencyVmin50,EfficiencyVmin75,EfficiencyVmin100,EfficiencyVmin,EfficiencyVnom10,EfficiencyVnom20,EfficiencyVnom30,EfficiencyVnom50,EfficiencyVnom75,EfficiencyVnom100,EfficiencyVnom,EfficiencyVmax10,EfficiencyVmax20,EfficiencyVmax30,EfficiencyVmax50,EfficiencyVmax75,EfficiencyVmax100,EfficiencyVmax,SortOrder,CECListingDate,LastUpdate
ABB,MICRO-0.25-I-OUTD-US-208,250W Utility Interactive Inverter,0.25,208,96,No Information Submitted,No Information Submitted,N,Y,Multiple Listing of Power-One,0.02,,,30,40,50,0.03,0.05,0.08,0.13,0.19,0.25,91.2,94.5,95.4,96.0,96.2,96.2,95.8,91.5,94.4,95.5,96.2,96.3,96.4,95.9,91.2,94.3,95.3,96.2,96.2,96.4,95.8,ABBMICRO-0.25-I-OUTD-US-208,,
ABB,MICRO-0.25-I-OUTD-US-240,250W Utility Interactive Inverter,0.25,240,96,No Information Submitted,No Information Submitted,N,Y,Multiple Listing of Power-One,0.05,,,30,40,50,0.03,0.05,0.08,0.13,0.19,0.25,90.8,94.2,95.4,96.0,96.1,96.2,95.7,91.2,94.2,95.3,96.3,96.2,96.5,95.8,90.5,94.0,95.3,96.3,96.1,96.5,95.8,ABBMICRO-0.25-I-OUTD-US-240,,
ABB,MICRO-0.3HV-I-OUTD-US-208,300W Utility Interactive Inverter,0.3,208,96,No Information Submitted,No Information Submitted,N,Y,Multiple Listing of Power-One,0.06,,,30,45,60,0.03,0.06,0.09,0.15,0.225,0.3,92.8,95.2,95.8,96.1,96.0,95.6,95.8,92.3,95.0,95.8,96.2,96.3,96.3,96.0,91.9,94.9,95.7,96.2,96.2,96.2,95.9,ABBMICRO-0.3HV-I-OUTD-US-208,,
ABB,MICRO-0.3HV-I-OUTD-US-240,300W Utility Interactive Inverter,0.3,240,96,No Information Submitted,No Information Submitted,N,Y,Multiple Listing of Power-One,0.06,,,30,45,60,0.03,0.06,0.09,0.15,0.225,0.3,92.4,95.0,95.7,96.0,96.0,95.7,95.8,91.8,94.7,95.8,96.2,96.4,96.4,96.0,91.7,94.6,95.6,96.1,96.2,96.4,95.8,ABBMICRO-0.3HV-I-OUTD-US-240,,
ABB,MICRO-0.3-I-OUTD-US-208,300W Utility Interactive Inverter,0.3,208,96,No Information Submitted,No Information Submitted,N,Y,Multiple Listing of Power-One,0.02,,,30,40,50,0.03,0.06,0.09,0.15,0.23,0.3,92.0,95.0,95.8,96.0,96.2,96.0,95.9,92.2,94.9,95.8,96.3,96.4,96.4,96.0,91.7,94.8,95.6,96.2,96.3,96.4,96.0,ABBMICRO-0.3-I-OUTD-US-208,,
ABB,MICRO-0.3-I-OUTD-US-240,300W Utility Interactive Inverter,0.3,240,96,No Information Submitted,No Information Submitted,N,Y,Multiple Listing of Power-One,0.05,,,30,40,50,0.03,0.06,0.09,0.15,0.23,0.3,91.7,94.8,95.8,96.0,96.1,96.0,95.8,92.0,94.8,95.7,96.3,96.4,96.4,96.0,91.6,94.7,95.6,96.3,96.4,96.5,96.0,ABBMICRO-0.3-I-OUTD-US-240,,
ABB,UNO-2.0-I-OUTD-S-US (208V),"2 kW (208Vac) Utility Interactive Inverter, model# may include -W",2,208,95.5,No Information Submitted,No Information Submitted,Y,N,Multiple Listing of Power-One,0.4,2,0.4,100,330,416,0.2,0.4,0.6,1,1.5,2,90.4,94.2,95.5,95.9,95.6,95.0,95.4,88.3,94.1,95.3,96.1,96.1,96.0,95.6,85.6,92.5,94.3,95.6,95.8,95.8,95.0,ABBUNO-2.0-I-OUTD-S-US (208V),,
ABB,UNO-2.0-I-OUTD-S-US (240V),"2 kW (240Vac) Utility Interactive Inverter, model# may include -W",2,240,95.5,No Information Submitted,No Information Submitted,Y,N,Multiple Listing of Power-One,0.4,2,0.4,100,340,416,0.2,0.4,0.6,1,1.5,2,89.2,94.5,95.4,96.0,96.0,95.5,95.5,88.3,94.1,95.5,96.4,96.5,96.5,95.9,85.5,92.8,94.6,95.9,96.2,96.3,95.4,ABBUNO-2.0-I-OUTD-S-US (240V),,
ABB,UNO-2.0-I-OUTD-S-US (277V),"2 kW (277Vac) Utility Interactive Inverter, model# may include -W",2,277,95.5,No Information Submitted,No Information Submitted,Y,N,Multiple Listing of Power-One,0.5,2,0.5,100,360,416,0.2,0.4,0.6,1,1.5,2,87.6,94.2,95.1,95.9,96.0,95.7,95.4,87.8,93.7,95.1,96.2,96.6,96.6,95.8,85.8,93.0,94.7,96.1,96.4,96.6,95.6,ABBUNO-2.0-I-OUTD-S-US (277V),,
ABB,UNO-2.0-TL-OUTD-S-US (208V),2.0 kW (208Vac) Utility Interactive Inverter,2,208,96.5,No Information Submitted,No Information Submitted,Y,N,,0.11,2,0.11,180,400,480,0.2,0.4,0.6,1,1.5,2,91.7,94.9,95.6,96.0,95.9,95.8,95.7,92.4,95.6,96.4,97.0,97.1,97.0,96.7,91.0,95.2,96.1,96.7,96.9,96.9,96.4,ABBUNO-2.0-TL-OUTD-S-US (208V),,
ABB,UNO-2.0-TL-OUTD-S-US (240V),2.0 kW (240Vac) Utility Interactive Inverter,2,240,96.5,No Information Submitted,No Information Submitted,Y,N,,0.15,2,0.15,180,400,480,0.2,0.4,0.6,1,1.5,2,91.2,94.5,95.4,95.8,96.0,95.9,95.6,92.7,95.8,96.6,97.2,97.3,97.3,96.9,91.3,95.3,96.2,96.9,97.2,97.2,96.7,ABBUNO-2.0-TL-OUTD-S-US (240V),,
ABB,UNO-2.0-TL-OUTD-S-US (277V),2.0 kW (277Vac) Utility Interactive Inverter,2,277,96.5,No Information Submitted,No Information Submitted,Y,N,,0.15,2,0.15,180,400,480,0.2,0.4,0.6,1,1.5,2,90.3,94.1,95.0,95.8,96.0,95.9,95.5,91.5,95.2,96.2,96.9,97.2,97.2,96.7,91.5,95.4,96.4,97.2,97.5,97.5,96.9,ABBUNO-2.0-TL-OUTD-S-US (277V),,
